Responso,La vuelta completa,Cicatrices,El limonero real,Nadie nada nunca,El entenado,Glosa,La ocasión,Lo imborrable,La pesquisa,Las nubes,La grande,Juan Jose Saer
No toda es vigilia la de los ojos abiertos,Papeles de Recienvenido,Una novela que comienza,Poemas,Macedonio Fernandez
La guerra de los mundos,El hombre invisible,La máquina del tiempo,Herbert George Wells
El principe y el mendigo,El forastero misterioso,El prí­ncipe y el mendigo,Huckleberry Finn,Tom Sawyer,Un yanki en la corte del rey Arturo,El hore que corrompió Hadleyburg,Mark Twain
El amante japonés,Hermanas de la tierra,Madre del arroz,Rani Manicka
La Estrella De Belen,La Tierra De Canaan,El fin de la eternidad,Yo robot,Isaac Asimov
Antologia Poetica,El Amor,El Otro Yo,Viento Del Exilio,El amor las mujeres y la vida,Gracias por el fuego,Mario Benedetti
Extracción de la piedra de locura,Nombres y figuras,Poseídos entre lilas,El infierno musical,La condesa sangrienta,Los pequeños cantos,Una noche en el desierto,Alejandra Pizarnik
Evolución de las ideas argentinas,Las doctrinas de Ameghino,Los tiempos nuevos,Emilio Boutroux y la filosofía francesa,La cultura filosófica en España,Las fuerzas morales,Tratado del amor,Los precursores,Jose Ingenieros
Vil & Vil,L’Ambigú,La purga,Sagesse,Sexamor,Decio 8A,Juan Filloy
Cristianismo Y Anarquismo,Guerra y Paz,Ana Karenina,Resurrección,Tres muertes,Leon Tolstoi
¡Estafen!,Op Oloop,Caterva,Ignitus,La potra,Juan Filloy
Muerte en Hamburgo,Cuento de muerte,Resurrección,El Señor del Carnaval,La venganza de la Valquiria,Miedo a las aguas oscuras,Craig Russell
El mundo perdido,El regreso de sherlock holmes,El sabueso de los Baskerville,El signo de los cuatro,Sherlock Holmes,Arthur Conan Doyle
El Cuento de la Isla Desconocida,La caverna,José Saramago
Alba de Saturno,Antes del Eden,Canticos De La Lejana Tierra,Cuentos De La Taberna Del Ciervo Blanco,El centinela,Arthur Clarke
El Paso de los Libres,El Plan Prebisch: retorno al coloniaje,Los profetas del Odio y la Yapa,Ejército y Política,Arturo Jauretche
Los que aman odian,La torre sin fin,La promesa,Silvina Ocampo
Estudios económicos,El crimen de la guerra,Política exterior de la República Argentina,Del gobierno en Sudamérica según las miras de su revolución fundamental,Belgrano y sus historiadores. Facundo y su biógrafo,Ensayos sobre la sociedad,Juan Bautista Alberdi
La aventura de un fotógrafo en La Plata,Un campeón desparejo,De un mundo a otro,Adolfo Bioy Casares
El Padrino,El Ultimo Don,Los Borgia,Mario Puzo
Cinco semanas en globo,La ciudad flotante,La Isla Misteriosa,La vuelta al mundo en 80 días,Viaje al Centro de la Tierra,Julio Verne
Variaciones en rojo,Cuentos para tahures,Quien mato a rosendo,Operacion Masacre,Rodolfo Walsh
Un día en la vida de Dios,Valfierno,A quien corresponda,Los Living,Comí,Echeverría,Todo por la patria,Sinfín,Martin Caparros
Ansay o los infortunios de la gloria,No velas a tus cuerpos,El tercer cuerpo,La noche anterior,La Historia,Martin Caparros
El alquimista,El aleph,Brida,La quinta montaña,Paulo Coelho
Una sombra ya pronto serás,El ojo de la Patria,La hora sin sombra,Osvaldo Soriano
Angeles y demonios,El Codigo Da Vinci,La Fortaleza Digital,La_conspiracion,Dan Brown
El que tiene sed,Crónica de un iniciado,El evangelio según Van Hutten,Abelardo Castillo
Contacto,Cosmos,El Cerebro de Broca,La Carga del Escepticismo,Carl Sagan
Banquete,El mito de la caverna,Eutidemo,La républica,Sócrates,Platón
Aforismos,De mi vida,Así­habló Zaratustra,Más allá del bien y del mal,Friedrich Nietzsche
Fiesta,Adios A Las Armas,La Breve Vida Feliz De Francis Macoer,Las Nieves Del Kilimanjaro,Paris Era Un Fiesta,Ernest Hemingway
El llano en llamas,Pedro Páramo,Juan Rulfo
1984,Rebelión en la granja,Homenaje a Cataluña,George Orwell
Congo,Esfera,Parque Jurásico,Sol naciente,Acoso,El mundo perdido,Michael Crichton
Ensayos,Juvenilia,En viaje,Charlas literarias,Notas e impresiones,Miguel Cane
Jauría,Cuerpo a cuerpo,Prontuario,Claudia conversa,Tartabul,David Viñas
Secretos Femeninos,Aguafuertes porteñas,El juguete rabioso,Los siete locos,Los lanzallamas,Roberto Arlt
Sobre héroes y tumbas,El Túnel,Ernesto Sábato
62 Modelo para armar,Bestiario,Cuentos Completos,Rayuela,Todos los fuegos el fuego,Un Tal Lucas,Las armas secretas,Julio Cortázar
Etica a Nicomaco,La Gran Moral,Metafisica,Moral a Eudemo,Politica,Poética,Aristóteles
La inquietud del rosal,El dulce daño,Irremediablemente,Languidez,Ocre,Mundo de siete pozos,Mascarilla y Trébol: Círculos imantados,Alfonsina Storni
El cencerro de cristal,Don segundo sombra,Cuentos de muerte y de sangre seguidos de aventuras grotescas y una trilogía cristiana,Ricardo Guiraldes
20 Poemas De Amor Y Una Cancion Desesperada,Canto General,Cien sonetos de amor,Confieso Que He Vivido,Libro De Las Preguntas,Residencia En La Tierra,Pablo Neruda
Extraño caso de Benjamin Button,El Gran Gatsby,Francis Scott Fitzgerald
El gran caiazo,El visitante,El último acto,Perra,Roald Dahl
Diario del Che en Bolivia,La Guerra de Guerrillas,Ernesto Guevara
Fontanarrosa se la cuenta,El mundo ha vivido equivocado,No sé si he sido claro,Nada del otro mundo,El mayor de mis defectos,Uno nunca sabe,La mesa de los galanes,Roberto Fontanarrosa
Ilíada,La odisea,Homero
El alquimista,Volpone,Epicoene,Catiline,Ben Jonson
Cuentos de Eva Luna,El amante japonés,Cuentos Recetas Y Otros Afrodisiacos,De amor y de sombra,Isabel Allende
La Perichole,Historia antigua,Breves,Lugares,Nombres,Del otro lado,Adolecer,Son memorias,Poemas póstumos,Paco Urondo
El Escarabajo de Oro,Gato Negro,La carta robada,Los Crí­menes de la Rue Morge,William Wilson,Edgar Allan Poe
Sagrado,La novela de Perón,La mano del amo,Santa Evita,El vuelo de la reina,El cantor de tango,Purgatorio,Tomas Eloy Martinez
Manual de zonceras argentinas,Mano a mano entre nosotros,Pantalones Cortos,Política y Economía,Arturo Jauretche
La tierra más ajena,Un signo en tu sombra,La última inocencia,Las aventuras perdidas,Árbol de Diana,Los trabajos y las noches,Alejandra Pizarnik
Memorias del subsuelo,El adolecente,Crimen y castigo,El jugador,Noches Blancas,Fiodor Dostoyevski
Cien Años de Soledad,Crónica de una Muerte Anunciada,El Amor en los Tiempos del Colera,El Coronel No Tiene Quien Le escriba,El otoño del patriarca,Vivir para contarla,Gabriel García Márquez
Diario de viaje a París,Los arrecifes de coral,El crimen del otro,Los perseguidos,Historia de un amor turbio,Cuentos de la selva,Horacio Quiroga
